"id","name","description"
"1","Neon Harbor","A disillusioned dockworker uncovers a smuggling ring and must choose between quiet survival and loud justice."
"51","Clockwork Orchard","In a town where timekeeping is law, a botanist finds a tree that blooms one hour into the future."
"101","Paper Satellites","Two rival students launch homemade satellites to prove a theory, then catch a signal that should not exist."
"151","Silent Latitude","A stranded polar radio operator hears a voice on a dead frequency and follows it across the ice."
"201","Midnight at Kilometer 12","A night bus keeps stopping at the same marker, and the passengers realize the route is looping for a reason."
"251","The Glass Cartographer","A mapmaker who etches cities into glass discovers his newest map is changing on its own."
"301","Sunset Protocol","A cybersecurity analyst finds an algorithm predicting blackouts—then learns it was written by someone inside the grid."
"351","Echoes in the Elevator","Every floor reveals a different year, and a building maintenance worker tries to fix a lift that is breaking reality."
"401","Ash & Apricot","After a wildfire, a chef and a firefighter rebuild a community kitchen that becomes the town’s second chance."
"451","Violet Nomads","A band of traveling musicians can erase memories with a song, until one night they erase the wrong one."
"501","The Last Lantern Maker","When the sun dims for unknown reasons, a craftsman’s lanterns become a currency—and a target."
"551","Mosaic of Tomorrow","A street artist paints murals that appear the next day in real life, drawing the attention of a secret agency."
"601","Northbound Without Maps","A mountaineer follows handwritten directions from a stranger and finds a village that does not appear on any chart."
"651","Beneath the Library Steps","A librarian discovers a hidden staircase leading to an archive where books remember the readers."
"701","Red Signal Dawn","A ham radio hobbyist intercepts a distress call from a city that has been abandoned for decades."
"751","The Meridian Thief","A skilled pickpocket steals a compass that points to people instead of places, and cannot put it down."
"801","Rooftop Weather","A meteorologist and a skateboarder chase a microclimate that only forms above the city’s tallest roofs."
"851","Tides of Copper","In a coastal factory town, an engineer learns the ocean is carrying metal messages from a missing ship."
"901","The Ink Between Us","A tattoo artist’s ink reveals hidden truths, forcing clients to face what they have been avoiding."
"951","Garden of Small Miracles","A retired teacher cultivates a community garden where every plant heals something different—at a cost."
"1001","Seven Minutes to Winter","A commuter relives the same seven minutes before a storm, trying to save someone he has never met."
"1051","Concrete Fireflies","Kids in a gray district build glowing drones to light their nights, accidentally exposing a long-buried scandal."
"1101","The Borrowed Skyline","A photographer captures a skyline that vanishes from the world the next morning, and the city demands answers."
"1151","Velvet Static","A late-night DJ receives anonymous vinyl records that predict callers’ futures—until one record predicts his."
"1201","A Train Called Elsewhere","A new platform appears at the station, and a conductor must decide who gets to board and who must stay."
"1251","The Algorithm of Rain","A data scientist learns the weather can be computed, then discovers someone is editing the forecast on purpose."
"1301","Crescent Under Glass","A watchmaker builds a lunar model that starts controlling the tides, drawing a sailor into its orbit."
"1351","Hollow City Postcards","A travel blogger receives postcards from a city with no roads in or out, each signed with her name."
"1401","The Blue Door Agreement","Neighbors agree never to open a mysterious door in their hallway—until it opens from the inside."
"1451","Starlight Maintenance","A satellite repair crew finds an extra module that was never launched and must trace who put it there."
